Election No.,Date Presidential,Date Electors,Date Electoral Vote
[for (N)th,"Electors ""appointed""",cast their votes,tabulated by a Joint
Administration],[Presidential Election],in the several States,Session of Congress
1,7 January 1789,4 February 1789,6 April 1789
2,*2 November 1792,5 December 1792,13 February 1793
3,*4 November 1796,7 December 1796,8 February 1797
4,*31 October 1800,3 December 1800,11 February 1801
5,*2 November 1804,5 December 1804,13 February 1805
6,*4 November 1808,7 December 1808,8 February 1809
7,*30 October 1812,2 December 1812,10 February 1813
8,*1 November 1816,4 December 1816,12 February 1817
9,*3 November 1820,6 December 1820,14 February 1821
10,*29 October 1824,1 December 1824,9 February 1825
11,*31 October 1828,3 December 1828,11 February 1829
12,*2 November 1832,5 December 1832,13 February 1833
13,*4 November 1836,7 December 1836,8 February 1837
14,*30 October 1840,2 December 1840,10 February 1841
15,*1 November 1844,4 December 1844,12 February 1845
16,7 November 1848,6 December 1848,14 February 1849
17,2 November 1852,1 December 1852,9 February 1853
18,4 November 1856,3 December 1856,11 February 1857
19,6 November 1860,5 December 1860,13 February 1861
20,8 November 1864,7 December 1864,8 February 1885
21,3 November 1868,2 December 1868,10 February 1869
22,5 November 1872,4 December 1872,12 February 1873
23,7 November 1876,6 December 1876,1 February 1877 (2 March 1877)
24,2 November 1880,1 December 1880,9 February 1881
25,4 November 1884,3 December 1884,11 February 1885
26,6 November 1888,14 January 1889,13 February 1889
27,8 November 1892,9 January 1893,8 February 1893
28,3 November 1896,11 January 1897,10 February 1897
29,6 November 1900,14-Jan-01,13-Feb-01
30,8 November 1904,9-Jan-05,8-Feb-05
31,3 November 1908,11-Jan-09,10-Feb-09
32,5 November 1912,13-Jan-13,12-Feb-13
33,7 November 1916,8-Jan-17,14-Feb-17
34,2 November 1920,10-Jan-21,9-Feb-21
35,4 November 1924,12-Jan-25,11-Feb-25
36,6 November 1928,14-Jan-29,13-Feb-29
37,8 November 1932,9-Jan-33,8-Feb-33
38,3 November 1936,14-Dec-36,6-Jan-37
39,5 November 1940,16-Dec-40,6-Jan-41
40,7 November 1944,18-Dec-44,6-Jan-45
41,2 November 1948,13-Dec-48,6-Jan-49
42,4 November 1952,15-Dec-52,6-Jan-53
43,6 November 1956,17-Dec-56,7-Jan-57
44,8 November 1960,19-Dec-60,6-Jan-61
45,3 November 1964,14-Dec-64,6-Jan-65
46,5 November 1968,16-Dec-68,6-Jan-69
47,7 November 1972,18-Dec-72,6-Jan-73
48,2 November 1976,13-Dec-76,6-Jan-77
49,4 November 1980,15-Dec-80,6-Jan-81
50,6 November 1984,17-Dec-84,7-Jan-85
51,8 November 1988,19-Dec-88,4-Jan-89
52,3 November 1992,14-Dec-92,6-Jan-93
53,5 November 1996,16-Dec-96,9-Jan-97
54,7 November 2000,18-Dec-00,6-Jan-01
55,2 November 2004,13-Dec-04,6-Jan-05
56,4 November 2008,15-Dec-08,8-Jan-09
57,6 November 2012,17-Dec-12,4-Jan-13
58,8 November 2016,19-Dec-16,6-Jan-17
